Date,Open,High,Low,Close,Adj Close,Volume
2021-04-22,75.429497,75.614998,74.841003,75.429497,75.429497,0
2021-04-23,75.091698,75.305000,74.738503,75.091698,75.091698,0
2021-04-26,74.868202,75.251999,74.664001,74.868103,74.868103,0
2021-04-27,74.797897,74.834999,74.510498,74.814903,74.814903,0
2021-04-28,74.574997,74.945999,74.281998,74.574997,74.574997,0
2021-04-29,74.311798,74.597000,73.958298,74.311798,74.311798,0
2021-04-30,74.105797,74.294998,73.825401,74.105797,74.105797,0
2021-05-03,74.094902,74.494003,73.747200,74.094803,74.094803,0
2021-05-04,73.837502,74.476997,73.738503,73.837502,73.837502,0
2021-05-05,73.778900,74.014503,73.688301,73.778900,73.778900,0
2021-05-06,73.799500,74.191002,73.572098,73.799400,73.799400,0
2021-05-07,73.615196,73.894997,73.166199,73.615196,73.615196,0
2021-05-10,73.290398,73.470703,73.217003,73.290298,73.290298,0
2021-05-11,73.500099,73.776398,73.254501,73.500000,73.500000,0
2021-05-12,73.375099,73.742996,73.367996,73.375099,73.375099,0
2021-05-13,73.681602,73.682899,73.451897,73.681602,73.681602,0
2021-05-14,73.444901,73.845299,73.184998,73.444901,73.444901,0
2021-05-17,73.278999,73.723297,73.141197,73.278900,73.278900,0
2021-05-18,73.269699,73.619499,72.951401,73.269699,73.269699,0
2021-05-19,73.126198,73.456001,72.926300,73.128197,73.128197,0
2021-05-20,73.223000,73.223297,73.031197,73.222900,73.222900,0
2021-05-21,73.021896,73.338997,72.752998,73.021896,73.021896,0
2021-05-24,72.909798,72.975800,72.818001,72.909798,72.909798,0
2021-05-25,72.836601,73.195000,72.742996,72.836601,72.836601,0
2021-05-26,72.804901,72.808403,72.626801,72.804901,72.804901,0
2021-05-27,72.672501,73.155998,72.427299,72.672501,72.672501,0
2021-05-28,72.683601,72.937302,72.335800,72.682999,72.682999,0
2021-05-31,72.393600,72.748001,72.344498,72.393501,72.393501,0
2021-06-01,72.487198,72.949402,72.458000,72.487198,72.487198,0
2021-06-02,72.855003,73.434998,72.497803,72.855003,72.855003,0
2021-06-03,72.962196,73.155998,72.843399,72.965103,72.965103,0
2021-06-04,73.044197,73.113503,72.780502,73.044197,73.044197,0
2021-06-07,72.909798,72.916000,72.741096,72.909698,72.909698,0
2021-06-08,72.809402,72.978699,72.744003,72.809402,72.809402,0
2021-06-09,72.975304,73.013496,72.870003,72.975304,72.975304,0
2021-06-10,72.985298,73.238503,72.939003,72.985298,72.985298,0
2021-06-11,73.012299,73.318398,72.894997,73.012299,73.012299,0
2021-06-14,73.231697,73.293999,73.100502,73.231598,73.231598,0
2021-06-15,73.185303,73.376297,73.159599,73.180801,73.180801,0
2021-06-16,73.343903,73.387001,73.260002,73.344704,73.344704,0
2021-06-17,73.824097,74.238503,73.267998,73.824097,73.824097,0
2021-06-18,74.253899,74.522301,73.806999,74.253899,74.253899,0
2021-06-21,74.143997,74.440804,74.045601,74.143898,74.143898,0
2021-06-22,74.135201,74.387604,74.020500,74.135201,74.135201,0
2021-06-23,74.332199,74.544800,73.510803,74.332199,74.332199,0
2021-06-24,74.246902,74.262802,74.104401,74.246902,74.246902,0
2021-06-25,74.190300,74.390999,74.116798,74.190300,74.190300,0
2021-06-28,74.212997,74.328300,74.062500,74.212997,74.212997,0
2021-06-29,74.285599,74.337799,74.189003,74.285400,74.285400,0
2021-06-30,74.287598,74.473000,74.105003,74.287598,74.287598,0
2021-07-01,74.371101,74.628502,74.310997,74.371002,74.371002,0
2021-07-02,74.553596,74.899002,74.464996,74.544998,74.544998,0
2021-07-05,74.481903,74.586998,74.203003,74.481796,74.481796,0
2021-07-06,74.317802,74.771301,74.242500,74.317802,74.317802,0
2021-07-07,74.761200,74.853302,74.554497,74.762901,74.762901,0
2021-07-08,74.821899,74.866203,74.639999,74.821899,74.821899,0
2021-07-09,74.721497,74.911003,74.473396,74.721397,74.721397,0
2021-07-12,74.490601,74.657997,74.275398,74.490501,74.490501,0
2021-07-13,74.541702,74.675797,74.399498,74.541702,74.541702,0
2021-07-14,74.659500,74.869003,74.456001,74.659103,74.659103,0
