Date,Open,High,Low,Close,Adj Close
2021-02-09,48.077999,48.080002,47.915668,48.083000,48.083000
2021-02-10,48.070999,48.080002,47.911777,48.029999,48.029999
2021-02-11,48.021000,48.068001,47.916168,48.041000,48.041000
2021-02-12,48.067001,48.067001,47.907921,48.064999,48.064999
2021-02-15,48.050999,48.056999,47.473000,48.050999,48.050999
2021-02-16,47.955002,48.339001,47.802780,47.955002,47.955002
2021-02-17,48.341999,48.480999,48.138222,48.347000,48.347000
2021-02-18,48.393002,48.588001,48.198074,48.397999,48.397999
2021-02-19,48.529999,48.556000,48.288689,48.556000,48.556000
2021-02-22,48.479000,48.792000,48.426998,48.369194,48.369194
2021-02-23,48.647999,48.735001,48.440983,48.654999,48.654999
2021-02-24,48.667000,48.768002,48.448105,48.667000,48.667000
2021-02-25,48.698002,48.736000,48.478249,48.695000,48.695000
2021-02-26,49.042999,49.042999,48.406925,49.049999,49.049999
2021-03-01,48.620998,48.674000,48.484421,48.631142,48.631142
2021-03-02,48.544998,48.639999,48.363148,48.544998,48.544998
2021-03-03,48.585999,48.585999,48.345081,48.585999,48.585999
2021-03-04,48.583000,48.610001,48.383076,48.590000,48.590000
2021-03-05,48.713001,48.731998,48.394001,48.483582,48.483582
2021-03-08,48.651001,48.729000,48.425365,48.491535,48.491535
2021-03-09,48.692001,48.692001,48.355377,48.625000,48.625000
2021-03-10,48.336906,48.659000,48.284790,48.483002,48.483002
2021-03-11,48.673000,48.673000,48.316654,48.501999,48.501999
2021-03-12,48.534000,48.534000,48.242119,48.395000,48.395000
2021-03-15,48.382999,48.595001,48.382999,48.367599,48.367599
2021-03-16,48.493000,48.759998,48.424713,48.485001,48.485001
2021-03-17,48.880001,48.880001,48.429001,48.499287,48.499287
2021-03-18,48.827000,48.827000,48.459999,48.827000,48.827000
2021-03-19,48.855000,48.900002,48.425999,48.549999,48.549999
2021-03-22,48.487999,48.595001,48.405998,48.451099,48.451099
2021-03-23,48.654999,48.681000,48.413769,48.661999,48.661999
2021-03-24,48.631001,48.820000,48.455551,48.759998,48.759998
2021-03-25,48.585999,48.665001,48.419998,48.730999,48.730999
2021-03-26,48.521999,48.619999,48.366100,48.619999,48.619999
2021-03-29,48.428001,48.522999,48.337788,48.428001,48.428001
2021-03-30,48.448002,48.612000,48.287697,48.508999,48.508999
2021-03-31,48.520000,48.638000,48.394341,48.638000,48.638000
2021-04-01,48.658001,48.658001,48.365372,48.665001,48.665001
2021-04-02,48.757999,48.757999,48.436001,48.750000,48.750000
2021-04-05,48.547001,48.709999,48.432354,48.547001,48.547001
2021-04-06,48.750000,48.750000,48.432999,48.757000,48.757000
2021-04-07,48.779999,48.965000,48.429913,48.775002,48.775002
2021-04-08,48.849998,48.849998,48.417957,48.856998,48.856998
2021-04-09,48.830002,48.830002,48.009998,48.825001,48.825001
2021-04-12,48.505001,48.730999,48.462589,48.527000,48.527000
2021-04-13,48.794998,48.794998,48.362572,48.792999,48.792999
2021-04-14,48.722000,48.722000,48.344215,48.720001,48.720001
2021-04-15,48.388000,48.509998,48.278000,48.380001,48.380001
2021-04-16,48.408001,48.549999,48.199440,48.549999,48.549999
2021-04-19,48.276958,48.544998,48.224476,48.334999,48.334999
2021-04-20,48.439999,48.464001,48.180000,48.439999,48.439999
2021-04-21,48.536999,48.536999,48.186317,48.529999,48.529999
2021-04-22,48.513000,48.513000,48.237400,48.303967,48.303967
2021-04-23,48.459999,48.459999,48.181782,48.466999,48.466999
2021-04-26,48.244999,48.452999,48.231308,48.244999,48.244999
2021-04-27,48.335999,48.603001,48.211964,48.423000,48.423000
2021-04-28,48.553001,48.618999,48.291473,48.560001,48.560001
2021-04-29,48.549999,48.549999,48.165600,48.556999,48.556999
2021-04-30,48.459000,48.459000,48.030998,48.455002,48.455002
2021-05-03,48.188000,48.228001,47.889305,48.188000,48.188000
2021-05-04,48.198002,48.235001,47.900585,47.913921,47.913921
2021-05-05,48.157001,48.157001,47.852596,48.157001,48.157001
2021-05-06,48.119999,48.119999,47.794300,47.900002,47.900002
2021-05-07,47.943001,47.945000,47.705002,47.950001,47.950001
2021-05-10,47.785000,47.990002,47.769001,47.785000,47.785000
2021-05-11,47.952000,47.978001,47.705685,47.957001,47.957001
2021-05-12,47.999001,47.999001,47.674999,48.004002,48.004002
2021-05-13,48.055000,48.055000,47.727272,48.055000,48.055000
2021-05-14,47.942001,47.942001,47.628006,47.750000,47.750000
2021-05-17,47.734001,48.000999,47.650002,47.734001,47.734001
2021-05-18,47.965000,47.974998,47.669998,47.970001,47.970001
2021-05-19,47.917000,47.966999,47.667198,47.922001,47.922001
2021-05-20,47.955002,48.009998,47.722134,47.955002,47.955002
2021-05-21,47.911999,47.953999,47.719852,47.917000,47.917000
2021-05-24,47.932999,48.213001,47.889999,47.932999,47.932999
2021-05-25,48.145000,48.282001,47.887833,48.134998,48.134998
2021-05-26,48.102001,48.237000,47.981888,48.095001,48.095001
2021-05-27,48.249001,48.249001,47.897999,48.244999,48.244999
2021-05-28,47.910000,48.106998,47.674999,48.105000,48.105000
2021-05-31,47.747002,47.777000,47.524517,47.747002,47.747002
2021-06-01,47.630001,47.855999,47.509514,47.556763,47.556763
2021-06-02,47.709999,47.942001,47.637558,47.706001,47.706001
